step	train/acc
0	0.9047666788101196
1	0.9578499794006348
2	0.9692999720573425
3	0.9742500185966492
4	0.9772666692733765
5	0.9800833463668823
6	0.982450008392334
7	0.9834333062171936
8	0.9854000210762024
9	0.9872499704360962
