step	train/loss
0	0.32127296924591064
1	0.13573488593101501
2	0.09995921701192856
3	0.08195537328720093
4	0.06916692852973938
5	0.0627480000257492
6	0.054744333028793335
7	0.04945988208055496
8	0.043372951447963715
9	0.03869708627462387
